Úroveň 1,Úroveň 2,Úroveň 3,Název (ČJ),Vysvětlení (ČJ),Příklady (ČJ),Term (EN),Explanation (EN),,,,,,,,,,,,
A,,,Pozemní systém,systém tvořící prostor na povrchu nebo který ohraničuje stavební dílo směrem dolů,"základy budov, základy vozovky, vegetační prostory, základy pro železniční stavby, základy pro vodní dílo",Ground system,space system which terminates a construction entity downwards,,,,,,,,,,,,pozemní systém
B,,,Stěnový systém,"systém tvořící prostor, který tvoří a odděluje prostory vertikálně","stěna ve skále, stěna vodní nádrže, štětová stěna, opěrná zeď, stěna tunelu, systém sloupů",Wall system,space system which forms and separates space vertically ,,,,,,,,,,,,stěnový systém
C,,,Trámový systém,"systém tvořící prostor, který tvoří a odděluje prostory horizontálně","střešní trámy, altán, molo, mostek",Slab system,space system which forms and separates space horizontally,,,,,,,,,,,,trámový systém
D,,,Střešní systém,"systém tvořící prostor, který ohraničuje stavební dílo směrem vzhůru","střecha domu, strop tunelu",Roof system,space system which terminates a construction entity upwards,,,,,,,,,,,,střešní systém
E,,,Systém pro plyn a vzduch,"instalační systém, který dodává technické plyny nebo technický vzduch","systém pro vzduch, systém pro páru, systém pro speciální plyny, systém pro plyny ve zdravotnictví, systém pro topný plyn",Gas and air system,installation system which supplies technical gases or technical air,,,,,,,,,,,,systém pro plyn a vzduch
F,,,Systém pro vodu a tekutiny,"instalační systém, který dodává pitnou vodu, technickou vodu nebo jinou tekutinu","systém pro čistou vodu, systém pro teplou vodu, systém pro horkou vodu, systém pro paliva, zavlažovací systém",Water and fluid system,"installation system which supplies domestic water, technical water or other liquid",,,,,,,,,,,,systém pro vodu a tekutiny
G,,,Kanalizační a odpadní systém,"instalační systém, který odvádí tekutinu nebo odpad","systém pro odpadní vodu, systém pro užitkovou vodu, odvodňovací systém, centrální vysavač, systém pro rizikové odpady",Drainage and waste system,installation system which discharges liquid or disposes of waste,,,,,,,,,,,,kanalizační a odpadní systém
H,,,Systém chlazení a topení,"instalační systém, který dodává chlazení a/nebo topení","systém chlazení, systém topení",Cooling and/or heating system,installation system which supplies cooling and/or heating,,,,,,,,,,,,systém chlazení a topení
J,,,Ventilační systém,"instalační systém, který mění a/nebo upravuje kvalitu vzduchu","systém nouzové ventilace, systém ventilace krytu, systém ventilace tunelu, ventilace technických prostor",Ventilation system,installation system which supplies air exchange,,,,,,,,,,,,ventilační systém
K,,,Elektrický systém,"instalační systém, který dodává elektrickou energii",systém záložního zdroje energie,Electrical system,installation system which supplies electrical energy,,,,,,,,,,,,elektrický systém
L,,,Automatizační systém,"instalační systém, který dohlíží a/nebo řídí a reguluje technické systémy","řídící systém, kontrolní systém, systém automatizace budov, systém řízení dopravy",Automation system,"installation system which controls, adjusts and monitors technical systems in a context",,,,,,,,,,,,automatizační systém
M,,,Informační a komunikační systém,"instalační systém, který zajišťuje komunikaci mezi osobami nebo technickými systémy","datové sítě, objednávkové systém, systém pro komunikaci osob, systém hlášení času, signální systém, telefoní systém",Information and communication system,installation system which provides communications between persons or technical systems,,,,,,,,,,,,informační a komunikační systém
N,,,Dopravní systém,"instalační systém, který dopravuje věci nebo osoby","výtahový systém, eskalátorový systém, systém dopravy zboží",Transportation system,installation system which transports goods or persons,,,,,,,,,,,,dopravní systém
P,,,Bezpečnostní a ochranný systém,"instalační systém, který chrání proti nebezpečí a úrazu","protipožární systém, systém ochrany osob, bezpečnostní systém při manipulaci s elektrickým proudem",Security and safety system,installation system which protects any object from danger and damage,,,,,,,,,,,,bezpečnostní a ochranný systém
Q,,,Systém osvětlení,instalační systém pro zacházení se světlem,"systém veřejného osvětlení, systém nouzového osvětlení, systém osvětlení pracoviště, zastínění, zatemění, elektrické osvětlení",Lighting system,installation system for light management,,,,,,,,,,,,systém osvětlení
R,,,Železniční systém,"systém vybavení, který vede a řídí kolejová vozidla",svrchní stavba dráhy,Railroad system,installation system guiding and directing track-bound vehicles,,,,,,,,,,,,železniční systém
S,,,Zařízení,"systém vybavení, který poskytuje stavebnímu dílu a jeho prostorám zařízení, doplňky a vybavení","zdvižná zařízení, nábytek, produkční zařízení, zařízení tvořící prostor, estetická zařízení, ochranná a přístupová zařízení, vybavení",Arrangement system,fit-out system which equips a construction entity and its spaces with fittings and equipment,,,,,,,,,,,,zařízení
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
